# solver_fvmcc_F90::
# Nonequilibrium flo
# Primitive variable
#               "xc"                 "u"                 "v"                 "T"                "Te"                 "p"               "rho"                "h0"                "Mf"                 x_N                 x_O                x_NO                x_N2                x_O2               rho_N               rho_O              rho_NO              rho_N2              rho_O2
   0.1000012050E+001   -0.2473365899E-002    0.6975517076E+002    0.8789969779E+003    0.1035999119E+004    0.2255474332E+005    0.7624348354E-001    0.4091861192E+007    0.3774372186E-005    0.5151531000E-001    0.2342204948E+000    0.2195335718E-001    0.6462796819E+000    0.4603115608E-001    0.2226834823E-002    0.1156496839E-001    0.2032948399E-002    0.5587302498E-001    0.4545706946E-002
   0.1000013000E+001   -0.2675061657E-002    0.7435325946E+002    0.9009793023E+003    0.1056056411E+004    0.2255474203E+005    0.7435563020E-001    0.4125708316E+007    0.4031133970E-005    0.5157261644E-001    0.2347692620E+000    0.2191357504E-001    0.6461413652E+000    0.4560318130E-001    0.2174920539E-002    0.1130923774E-001    0.1979753823E-002    0.5449815129E-001    0.4393566811E-002
   0.1000013950E+001   -0.2886713770E-002    0.7887050821E+002    0.9223905269E+003    0.1075351195E+004    0.2255474148E+005    0.7260267322E-001    0.4158916183E+007    0.4298313272E-005    0.5163107006E-001    0.2353159574E+000    0.2187283603E-001    0.6460029818E+000    0.4517715463E-001    0.2126842476E-002    0.1107244285E-001    0.1930203158E-002    0.5322169692E-001    0.4251487815E-002
   0.1000014850E+001   -0.3097895012E-002    0.8307365786E+002    0.9421700575E+003    0.1092944030E+004    0.2255474036E+005    0.7105362343E-001    0.4189773249E+007    0.4563104826E-005    0.5168723985E-001    0.2358297832E+000    0.2183358173E-001    0.6458723752E+000    0.4477702009E-001    0.2084457547E-002    0.1086366174E-001    0.1886289838E-002    0.5209384563E-001    0.4125368674E-002
   0.1000015800E+001   -0.3330323707E-002    0.8743399500E+002    0.9625525221E+003    0.1110863246E+004    0.2255473894E+005    0.6952351818E-001    0.4221743718E+007    0.4852155427E-005    0.5174734178E-001    0.2363673756E+000    0.2179149480E-001    0.6457351228E+000    0.4435866501E-001    0.2042690613E-002    0.1065785852E-001    0.1842787660E-002    0.5097989689E-001    0.4000284509E-002
   0.1000016750E+001   -0.3573432863E-002    0.9172537667E+002    0.9824765183E+003    0.1128224977E+004    0.2255473829E+005    0.6808875813E-001    0.4253174333E+007    0.5152138658E-005    0.5180848299E-001    0.2369009443E+000    0.2174861789E-001    0.6455981993E+000    0.4394375557E-001    0.2003630658E-002    0.1046529449E-001    0.1801864715E-002    0.4993546501E-001    0.3882503249E-002
   0.1000017700E+001   -0.3826841800E-002    0.9594481867E+002    0.1001952363E+004    0.1145021521E+004    0.2255473670E+005    0.6674108879E-001    0.4284039350E+007    0.5462398115E-005    0.5187035451E-001    0.2374284675E+000    0.2170519993E-001    0.6454621538E+000    0.4353382426E-001    0.1967030452E-002    0.1028472127E-001    0.1763312894E-002    0.4895450298E-001    0.3771521190E-002
   0.1000018700E+001   -0.4104180502E-002    0.1003260830E+003    0.1022055396E+004    0.1162216460E+004    0.2255473566E+005    0.6540350045E-001    0.4316066922E+007    0.5799015112E-005    0.5193660126E-001    0.2379803685E+000    0.2165871262E-001    0.6453190177E+000    0.4310529995E-001    0.1930803208E-002    0.1010586489E-001    0.1724927516E-002    0.4798096137E-001    0.3660943466E-002
   0.1000019700E+001   -0.4392656139E-002    0.1046537822E+003    0.1041802529E+004    0.1178962888E+004    0.2255473459E+005    0.6413948812E-001    0.4347687415E+007    0.6146082431E-005    0.5200398361E-001    0.2385294666E+000    0.2161146376E-001    0.6451757664E+000    0.4267931964E-001    0.1896662710E-002    0.9937185556E-002    0.1688540187E-002    0.4706104159E-001    0.3556058081E-002
   0.1000020700E+001   -0.4692388307E-002    0.1089302160E+003    0.1061213616E+004    0.1195296134E+004    0.2255473350E+005    0.6294250641E-001    0.4378919630E+007    0.6503626270E-005    0.5207250657E-001    0.2390754677E+000    0.2156348119E-001    0.6450324384E+000    0.4225610616E-001    0.1864423418E-002    0.9777750458E-002    0.1653973951E-002    0.4618996329E-001    0.3456395299E-002
   0.1000021700E+001   -0.5003448168E-002    0.1131575044E+003    0.1080306480E+004    0.1211247240E+004    0.2255473239E+005    0.6180681424E-001    0.4409780787E+007    0.6871609120E-005    0.5214217893E-001    0.2396181294E+000    0.2151478925E-001    0.6448890603E+000    0.4183584206E-001    0.1833922812E-002    0.9626743936E-002    0.1621073472E-002    0.4536353422E-001    0.3361539795E-002
   0.1000022700E+001   -0.5326053396E-002    0.1173376085E+003    0.1099097197E+004    0.1226843644E+004    0.2255473124E+005    0.6072734975E-001    0.4440286721E+007    0.7250197782E-005    0.5221301224E-001    0.2401572518E+000    0.2146540940E-001    0.6447456499E+000    0.4141867663E-001    0.1805017783E-002    0.9483448946E-002    0.1589701695E-002    0.4457805874E-001    0.3271122585E-002
   0.1000023700E+001   -0.5660939525E-002    0.1214723525E+003    0.1117600352E+004    0.1242109728E+004    0.2255472998E+005    0.5969962759E-001    0.4470452065E+007    0.7640255484E-005    0.5228502018E-001    0.2406926705E+000    0.2141536074E-001    0.6446022170E+000    0.4100473161E-001    0.1777581665E-002    0.9347231887E-002    0.1559737098E-002    0.4383026259E-001    0.3184814345E-002
   0.1000024750E+001   -0.6024050571E-002    0.1257657998E+003    0.1136730413E+004    0.1257798819E+004    0.2255472823E+005    0.5867202372E-001    0.4501765277E+007    0.8059688165E-005    0.5236183575E-001    0.2412505255E+000    0.2136215456E-001    0.6444516726E+000    0.4057381159E-001    0.1750234186E-002    0.9211225953E-002    0.1529678198E-002    0.4308257465E-001    0.3098310734E-002
   0.1000025850E+001   -0.6415381685E-002    0.1302151832E+003    0.1156465724E+004    0.1273903776E+004    0.2255472719E+005    0.5764728596E-001    0.4534207777E+007    0.8507573618E-005    0.5244381383E-001    0.2418304822E+000    0.2130561500E-001    0.6442938516E+000    0.4012623731E-001    0.1723059439E-002    0.9075799722E-002    0.1499594340E-002    0.4233698970E-001    0.3011842759E-002
   0.1000026900E+001   -0.6802062632E-002    0.1344176868E+003    0.1175025197E+004    0.1288980337E+004    0.2255472650E+005    0.5671479001E-001    0.4564843517E+007    0.8946707980E-005    0.5252352203E-001    0.2423796820E+000    0.2125090099E-001    0.6441430999E+000    0.3970279504E-001    0.1698421213E-002    0.8952733272E-002    0.1472118052E-002    0.4165852795E-001    0.2932989524E-002
   0.1000027950E+001   -0.7201546039E-002    0.1385752809E+003    0.1193315193E+004    0.1303763675E+004    0.2255472456E+005    0.5582402325E-001    0.4595143941E+007    0.9397050988E-005    0.5260445280E-001    0.2429239916E+000    0.2119560725E-001    0.6439924622E+000    0.3928348610E-001    0.1674966188E-002    0.8835310474E-002    0.1445783041E-002    0.4101042943E-001    0.2857534111E-002
   0.1000029050E+001   -0.7632506420E-002    0.1428874085E+003    0.1212208353E+004    0.1318977676E+004    0.2255472332E+005    0.5493190945E-001    0.4626565364E+007    0.9879040640E-005    0.5269080673E-001    0.2434894529E+000    0.2113693252E-001    0.6438345184E+000    0.3884828943E-001    0.1651567237E-002    0.8717850844E-002    0.1419309460E-002    0.4036134813E-001    0.2781833782E-002
   0.1000030150E+001   -0.8076928891E-002    0.1471556221E+003    0.1230835484E+004    0.1333921012E+004    0.2255472194E+005    0.5407898560E-001    0.4657661389E+007    0.1037231853E-004    0.5277870910E-001    0.2440498014E+000    0.2107755464E-001    0.6436765024E+000    0.3841743246E-001    0.1629286326E-002    0.8605675717E-002    0.1393903145E-002    0.3974077205E-001    0.2709348369E-002
   0.1000031300E+001   -0.8553580990E-002    0.1515715790E+003    0.1250033271E+004    0.1349264334E+004    0.2255472008E+005    0.5322635226E-001    0.4689827996E+007    0.1089697427E-004    0.5287220485E-001    0.2446299620E+000    0.2101478720E-001    0.6435112832E+000    0.3797176272E-001    0.1607105807E-002    0.8493654010E-002    0.1368408524E-002    0.3912039314E-001    0.2636790785E-002
   0.1000032450E+001   -0.9043426652E-002    0.1559446277E+003    0.1268968482E+004    0.1364357452E+004    0.2255471950E+005    0.5241047386E-001    0.4721679141E+007    0.1143183727E-004    0.5296760540E-001    0.2452047513E+000    0.2095119110E-001    0.6433457861E+000    0.3753066606E-001    0.1585981488E-002    0.8386572876E-002    0.1343910101E-002    0.3852673723E-001    0.2567272161E-002
   0.1000033550E+001   -0.9526909449E-002    0.1600861778E+003    0.1286836018E+004    0.1378555579E+004    0.2255471796E+005    0.5166246689E-001    0.4751839904E+007    0.1195622175E-004    0.5306042978E-001    0.2457490993E+000    0.2088972738E-001    0.6431874193E+000    0.3711332421E-001    0.1566701053E-002    0.8288485392E-002    0.1321362173E-002    0.3798244423E-001    0.2503474042E-002
   0.1000034700E+001   -0.1004610165E-001    0.1643741680E+003    0.1305269522E+004    0.1393162909E+004    0.2255471585E+005    0.5091208159E-001    0.4783063239E+007    0.1251532005E-004    0.5315913779E-001    0.2463125046E+000    0.2082482069E-001    0.6430217582E+000    0.3668177871E-001    0.1547448736E-002    0.8190165389E-002    0.1298653643E-002    0.3743639375E-001    0.2439420077E-002
   0.1000035900E+001   -0.1060114424E-001    0.1688062617E+003    0.1324251175E+004    0.1408172804E+004    0.2255471452E+005    0.5016106030E-001    0.4815333701E+007    0.1310837596E-004    0.5326415013E-001    0.2468944745E+000    0.2075630566E-001    0.6428486033E+000    0.3623646642E-001    0.1528280771E-002    0.8091841865E-002    0.1275827415E-002    0.3688984643E-001    0.2375263817E-002
   0.1000037100E+001   -0.1117018806E-001    0.1731956294E+003    0.1342980493E+004    0.1422951598E+004    0.2255471313E+005    0.4944068487E-001    0.4847290613E+007    0.1371179967E-004    0.5337115179E-001    0.2474702644E+000    0.2068705017E-001    0.6426752009E+000    0.3579633279E-001    0.1509994475E-002    0.7997599916E-002    0.1253836984E-002    0.3636556341E-001    0.2313690082E-002
   0.1000038300E+001   -0.1175367948E-001    0.1775436193E+003    0.1361466133E+004    0.1437510807E+004    0.2255471171E+005    0.4874897886E-001    0.4878944296E+007    0.1432608102E-004    0.5348016362E-001    0.2480398924E+000    0.2061706969E-001    0.6425015209E+000    0.3536135335E-001    0.1492534383E-002    0.7907168998E-002    0.1232628717E-002    0.3586210460E-001    0.2254542156E-002
   0.1000039500E+001   -0.1235197761E-001    0.1818515043E+003    0.1379716180E+004    0.1451860997E+004    0.2255471023E+005    0.4808414038E-001    0.4910304463E+007    0.1495159074E-004    0.5359120489E-001    0.2486033833E+000    0.2054637947E-001    0.6423275336E+000    0.3493149870E-001    0.1475849918E-002    0.7820302967E-002    0.1212153736E-002    0.3537815729E-001    0.2197676470E-002
   0.1000040700E+001   -0.1296593440E-001    0.1861204884E+003    0.1397738198E+004    0.1466011892E+004    0.2255470863E+005    0.4744452250E-001    0.4941380289E+007    0.1558928264E-004    0.5370429326E-001    0.2491607672E+000    0.2047499465E-001    0.6421532095E+000    0.3450673532E-001    0.1459894836E-002    0.7736777292E-002    0.1192367387E-002    0.3491252180E-001    0.2142961183E-002
   0.1000041950E+001   -0.1361925301E-001    0.1905264589E+003    0.1416274018E+004    0.1480545664E+004    0.2255470645E+005    0.4680352738E-001    0.4973451759E+007    0.1626299075E-004    0.5382419633E-001    0.2497348295E+000    0.2039995668E-001    0.6419713088E+000    0.3406970863E-001    0.1444004759E-002    0.7653111769E-002    0.1172449218E-002    0.3444583249E-001    0.2088129145E-002
   0.1000043200E+001   -0.1428833769E-001    0.1948941821E+003    0.1434582204E+004    0.1494891069E+004    0.2255470567E+005    0.4618654147E-001    0.5005245600E+007    0.1694829135E-004    0.5394653800E-001    0.2503025206E+000    0.2032411128E-001    0.6417888279E+000    0.3363800223E-001    0.1428816589E-002    0.7572617091E-002    0.1153182901E-002    0.3399656616E-001    0.2035358733E-002
   0.1000044450E+001   -0.1497325887E-001    0.1992218734E+003    0.1452660931E+004    0.1509039553E+004    0.2255470324E+005    0.4559243577E-001    0.5036746531E+007    0.1764525872E-004    0.5407096534E-001    0.2508635511E+000    0.2024764797E-001    0.6416060383E+000    0.3321179725E-001    0.1414289000E-002    0.7495135273E-002    0.1134546623E-002    0.3356390465E-001    0.1984560228E-002
   0.1000045750E+001   -0.1570067702E-001    0.2036836657E+003    0.1471233412E+004    0.1523566849E+004    0.2255470173E+005    0.4499719202E-001    0.5069224326E+007    0.1838037866E-004    0.5420288711E-001    0.2514402660E+000    0.2016735346E-001    0.6414153397E+000    0.3277415374E-001    0.1399842285E-002    0.7417531260E-002    0.1115781930E-002    0.3313035016E-001    0.1933686388E-002
   0.1000047050E+001   -0.1644409369E-001    0.2081060854E+003    0.1489576685E+004    0.1537907203E+004    0.2255470012E+005    0.4442375067E-001    0.5101415918E+007    0.1912665904E-004    0.5433729008E-001    0.2520100667E+000    0.2008633506E-001    0.6412240795E+000    0.3234222868E-001    0.1386032284E-002    0.7342790368E-002    0.1097614408E-002    0.3271260949E-001    0.1884704118E-002
   0.1000048350E+001   -0.1720479713E-001    0.2124902482E+003    0.1507697406E+004    0.1552068334E+004    0.2255469838E+005    0.4387085860E-001    0.5133329693E+007    0.1988554527E-004    0.5447418485E-001    0.2525730152E+000    0.2000461166E-001    0.6410322265E+000    0.3191596174E-001    0.1372823661E-002    0.7270743671E-002    0.1080010222E-002    0.3230977060E-001    0.1837510445E-002
   0.1000049700E+001   -0.1800987321E-001    0.2170029991E+003    0.1526284283E+004    0.1566588454E+004    0.2255469600E+005    0.4331727404E-001    0.5166179818E+007    0.2068324706E-004    0.5461889162E-001    0.2531503695E+000    0.1991906200E-001    0.6408324141E+000    0.3147926284E-001    0.1359707860E-002    0.7198618537E-002    0.1062295481E-002    0.3190635491E-001    0.1790297249E-002
   0.1000051050E+001   -0.1883197737E-001    0.2214781167E+003    0.1544648522E+004    0.1580937662E+004    0.2255469519E+005    0.4278329616E-001    0.5198758462E+007    0.2149256636E-004    0.5476650313E-001    0.2537205978E+000    0.1983270797E-001    0.6406317403E+000    0.3104845076E-001    0.1347173343E-002    0.7129056625E-002    0.1045115313E-002    0.3151714840E-001    0.1744802476E-002
   0.1000052400E+001   -0.1967044834E-001    0.2259140195E+003    0.1562788730E+004    0.1595108850E+004    0.2255469268E+005    0.4226805114E-001    0.5231051851E+007    0.2231276971E-004    0.5491662427E-001    0.2542835428E+000    0.1974574032E-001    0.6404304893E+000    0.3062360339E-001    0.1335185650E-002    0.7061938740E-002    0.1028454232E-002    0.3114152083E-001    0.1700951692E-002
   0.1000053750E+001   -0.2052726471E-001    0.2303143046E+003    0.1580718253E+004    0.1609121892E+004    0.2255469175E+005    0.4177031078E-001    0.5263088799E+007    0.2314600419E-004    0.5506966028E-001    0.2548394945E+000    0.1965801321E-001    0.6402283189E+000    0.3020451312E-001    0.1323719616E-002    0.6997102111E-002    0.1012271374E-002    0.3077857318E-001    0.1658644496E-002
   0.1000055100E+001   -0.2140312381E-001    0.2346774398E+003    0.1598435622E+004    0.1622969981E+004    0.2255468887E+005    0.4128933361E-001    0.5294855964E+007    0.2399304238E-004    0.5522521197E-001    0.2553883328E+000    0.1956971175E-001    0.6400255127E+000    0.2979123077E-001    0.1312744666E-002    0.6934446360E-002    0.9965544320E-003    0.3042777195E-001    0.1617816206E-002
   0.1000056550E+001   -0.2235883259E-001    0.2393248506E+003    0.1617239184E+004    0.1637673697E+004    0.2255468641E+005    0.4079029537E-001    0.5328695160E+007    0.2491112869E-004    0.5539531275E-001    0.2559701008E+000    0.1947416182E-001    0.6398067721E+000    0.2935365252E-001    0.1301477715E-002    0.6869431961E-002    0.9801582900E-003    0.3006370809E-001    0.1575519314E-002
   0.1000058000E+001   -0.2333162735E-001    0.2439342606E+003    0.1635818053E+004    0.1652213522E+004    0.2255468567E+005    0.4030838524E-001    0.5362261371E+007    0.2583957301E-004    0.5556876223E-001    0.2565440409E+000    0.1937782109E-001    0.6395868927E+000    0.2892248299E-001    0.1290724890E-002    0.6806639700E-002    0.9642321971E-003    0.2971204284E-001    0.1534745615E-002
   0.1000059400E+001   -0.2429151014E-001    0.2483478628E+003    0.1653543756E+004    0.1666093406E+004    0.2255468361E+005    0.3985860539E-001    0.5394403676E+007    0.2675074340E-004    0.5573909623E-001    0.2570907335E+000    0.1928419679E-001    0.6393737241E+000    0.2851224937E-001    0.1280802451E-002    0.6748022468E-002    0.9492869426E-003    0.2938373558E-001    0.1496757948E-002
   0.1000060850E+001   -0.2530433516E-001    0.2528819177E+003    0.1671688090E+004    0.1680310579E+004    0.2255468077E+005    0.3940798857E-001    0.5427425423E+007    0.2770667365E-004    0.5591847721E-001    0.2576493294E+000    0.1918662447E-001    0.6391520123E+000    0.2809355661E-001    0.1270977762E-002    0.6689281952E-002    0.9342323821E-003    0.2905472519E-001    0.1458771281E-002
   0.1000062350E+001   -0.2636964668E-001    0.2575347440E+003    0.1690237523E+004    0.1694859777E+004    0.2255467901E+005    0.3895721483E-001    0.5461315969E+007    0.2870595127E-004    0.5610743644E-001    0.2582191965E+000    0.1908498253E-001    0.6389214604E+000    0.2766692412E-001    0.1261277121E-002    0.6630503162E-002    0.9190848002E-003    0.2872549777E-001    0.1420851977E-002
   0.1000063850E+001   -0.2745369187E-001    0.2621497429E+003    0.1708566676E+004    0.1709250635E+004    0.2255467717E+005    0.3852131224E-001    0.5494934362E+007    0.2971676070E-004    0.5629972323E-001    0.2587810069E+000    0.1898269383E-001    0.6386897535E+000    0.2724682260E-001    0.1252022470E-002    0.6573643245E-002    0.9043518506E-003    0.2840702855E-001    0.1384266129E-002
   0.1000065350E+001   -0.2855738809E-001    0.2667278838E+003    0.1726681044E+004    0.1723488346E+004    0.2255467524E+005    0.3809951692E-001    0.5528287764E+007    0.3074008180E-004    0.5649532653E-001    0.2593348658E+000    0.1887978615E-001    0.6384568665E+000    0.2683315503E-001    0.1243191865E-002    0.6518601235E-002    0.8900131691E-003    0.2809876255E-001    0.1348948102E-002
   0.1000066850E+001   -0.2968204907E-001    0.2712700907E+003    0.1744585860E+004    0.1737577785E+004    0.2255467316E+005    0.3769111827E-001    0.5561382998E+007    0.3177729646E-004    0.5669423370E-001    0.2598808775E+000    0.1877628706E-001    0.6382227764E+000    0.2642582528E-001    0.1234764853E-002    0.6465283354E-002    0.8760498332E-003    0.2780018360E-001    0.1314836628E-002
   0.1000068400E+001   -0.3086235762E-001    0.2759263435E+003    0.1762871272E+004    0.1751983618E+004    0.2255467033E+005    0.3728250910E-001    0.5595312582E+007    0.3285952976E-004    0.5690311322E-001    0.2604369377E+000    0.1866878450E-001    0.6379796819E+000    0.2601148275E-001    0.1226459157E-002    0.6411911390E-002    0.8619991356E-003    0.2750134320E-001    0.1280796219E-002
   0.1000069950E+001   -0.3206339402E-001    0.2805471737E+003    0.1780946228E+004    0.1766245406E+004    0.2255466931E+005    0.3688675792E-001    0.5628989273E+007    0.3395475820E-004    0.5711571606E-001    0.2609848756E+000    0.1856063227E-001    0.6377350874E+000    0.2560368863E-001    0.1218547499E-002    0.6360189363E-002    0.8483075423E-003    0.2721179210E-001    0.1247921418E-002
   0.1000071500E+001   -0.3328558330E-001    0.2851313462E+003    0.1798810450E+004    0.1780358587E+004    0.2255466616E+005    0.3650334655E-001    0.5662401968E+007    0.3506346300E-004    0.5733156872E-001    0.2615247421E+000    0.1845201256E-001    0.6374893129E+000    0.2520236367E-001    0.1211005195E-002    0.6310050469E-002    0.8349676467E-003    0.2693116155E-001    0.1216161694E-002
   0.1000073100E+001   -0.3456716209E-001    0.2898274897E+003    0.1817039071E+004    0.1794782514E+004    0.2255466418E+005    0.3611979565E-001    0.5696635888E+007    0.3621966281E-004    0.5755812756E-001    0.2620737169E+000    0.1833931160E-001    0.6372340872E+000    0.2479475673E-001    0.1203593784E-002    0.6259859944E-002    0.8215424974E-003    0.2665031052E-001    0.1184488901E-002
   0.1000074700E+001   -0.3587084054E-001    0.2944875122E+003    0.1835056172E+004    0.1809061691E+004    0.2255466197E+005    0.3574809357E-001    0.5730611192E+007    0.3738969355E-004    0.5778834679E-001    0.2626143588E+000    0.1822609479E-001    0.6369773846E+000    0.2439381504E-001    0.1196543274E-002    0.6211185173E-002    0.8084543265E-003    0.2637801728E-001    0.1153893511E-002
   0.1000076350E+001   -0.3723473191E-001    0.2992557304E+003    0.1853418716E+004    0.1823637852E+004    0.2255465897E+005    0.3537660979E-001    0.5765379818E+007    0.3860695180E-004    0.5802944885E-001    0.2631632884E+000    0.1810886975E-001    0.6367111840E+000    0.2398720903E-001    0.1189631200E-002    0.6162502012E-002    0.7952963158E-003    0.2610576199E-001    0.1123418276E-002
   0.1000078000E+001   -0.3862096471E-001    0.3039883627E+003    0.1871568950E+004    0.1838072701E+004    0.2255465787E+005    0.3501649444E-001    0.5799895230E+007    0.3983767668E-004    0.5827462790E-001    0.2637036188E+000    0.1799108965E-001    0.6364432001E+000    0.2358746348E-001    0.1183071795E-002    0.6115268791E-002    0.7824611521E-003    0.2584170939E-001    0.1093983313E-002
   0.1000079650E+001   -0.4003000670E-001    0.3086842912E+003    0.1889507176E+004    0.1852362576E+004    0.2255465454E+005    0.3466729457E-001    0.5834147210E+007    0.4108239238E-004    0.5852337819E-001    0.2642354649E+000    0.1787293302E-001    0.6361737720E+000    0.2319445187E-001    0.1176842112E-002    0.6069428362E-002    0.7699426308E-003    0.2558553892E-001    0.1065542538E-002
   0.1000081350E+001   -0.4150290684E-001    0.3134865376E+003    0.1907775711E+004    0.1866943736E+004    0.2255465246E+005    0.3431832469E-001    0.5869180828E+007    0.4237664360E-004    0.5878374037E-001    0.2647746898E+000    0.1775072492E-001    0.6358943785E+000    0.2279646647E-001    0.1170758232E-002    0.6023575262E-002    0.7573555685E-003    0.2532940483E-001    0.1037230799E-002
   0.1000083050E+001   -0.4299850526E-001    0.3182526322E+003    0.1925831557E+004    0.1881383035E+004    0.2255465024E+005    0.3397983393E-001    0.5903956479E+007    0.4368416450E-004    0.5904807894E-001    0.2653051786E+000    0.1762811093E-001    0.6356132365E+000    0.2240539505E-001    0.1164996848E-002    0.5979055355E-002    0.7450724029E-003    0.2508083008E-001    0.1009879249E-002
