# solver_fvmcc_F90::
# Nonequilibrium flo
# Primitive variable
#               "xc"                 "u"                 "v"                 "T"                "Te"                 "p"               "rho"                "h0"                "Mf"                 x_N                 x_O                x_NO                x_N2                x_O2               rho_N               rho_O              rho_NO              rho_N2              rho_O2
   0.1001500000E+001   -0.9320716961E+001    0.3216674574E+004    0.7929956143E+004    0.7931781029E+004    0.2264513564E+005    0.5036962935E-002    0.4045156573E+008    0.3412545358E-002    0.7700211232E+000    0.2133126400E+000    0.1838517920E-003    0.1648058420E-001    0.1800827779E-005    0.3704315419E-002    0.1172167783E-002    0.1894728175E-005    0.1585652142E-003    0.1979134761E-007
   0.1001620000E+001   -0.1009094043E+002    0.3233137094E+004    0.7929771377E+004    0.7932113917E+004    0.2264507305E+005    0.5037065397E-002    0.4045147758E+008    0.3694585836E-002    0.7700213409E+000    0.2133126197E+000    0.1838311346E-003    0.1648040769E-001    0.1800561659E-005    0.3704392538E-002    0.1172191743E-002    0.1894554191E-005    0.1585667722E-003    0.1978882929E-007
   0.1001740000E+001   -0.1086477575E+002    0.3249570909E+004    0.7929559930E+004    0.7932509927E+004    0.2264500737E+005    0.5037183144E-002    0.4045139487E+008    0.3977961438E-002    0.7700217935E+000    0.2133125628E+000    0.1838056398E-003    0.1648003784E-001    0.1800239474E-005    0.3704482752E-002    0.1172219288E-002    0.1894336461E-005    0.1585669820E-003    0.1978575857E-007
   0.1001860000E+001   -0.1164220579E+002    0.3265978126E+004    0.7929319171E+004    0.7932974410E+004    0.2264493858E+005    0.5037317805E-002    0.4045131688E+008    0.4262667952E-002    0.7700224903E+000    0.2133124679E+000    0.1837749567E-003    0.1647946707E-001    0.1799856909E-005    0.3704587331E-002    0.1172250797E-002    0.1894071990E-005    0.1585658229E-003    0.1978209447E-007
   0.1001980000E+001   -0.1242321314E+002    0.3282360630E+004    0.7929046493E+004    0.7933512792E+004    0.2264486663E+005    0.5037470984E-002    0.4045124303E+008    0.4548701260E-002    0.7700234415E+000    0.2133123334E+000    0.1837387269E-003    0.1647868689E-001    0.1799409588E-005    0.3704707536E-002    0.1172286647E-002    0.1893757695E-005    0.1585632650E-003    0.1977779529E-007
   0.1002100000E+001   -0.1320778013E+002    0.3298720117E+004    0.7928739323E+004    0.7934130551E+004    0.2264479149E+005    0.5037644266E-002    0.4045117282E+008    0.4836057324E-002    0.7700246583E+000    0.2133121579E+000    0.1836965879E-003    0.1647768828E-001    0.1798893115E-005    0.3704844621E-002    0.1172327208E-002    0.1893390444E-005    0.1585592725E-003    0.1977281898E-007
   0.1002220000E+001   -0.1399588875E+002    0.3315058129E+004    0.7928395118E+004    0.7934833202E+004    0.2264471310E+005    0.5037839212E-002    0.4045110586E+008    0.5124732173E-002    0.7700261519E+000    0.2133119397E+000    0.1836481768E-003    0.1647646192E-001    0.1798303100E-005    0.3704999826E-002    0.1172372846E-002    0.1892967089E-005    0.1585538060E-003    0.1976712345E-007
   0.1002340000E+001   -0.1478752066E+002    0.3331376081E+004    0.7928011373E+004    0.7935626273E+004    0.2264463144E+005    0.5038057365E-002    0.4045104181E+008    0.5414721893E-002    0.7700279337E+000    0.2133116771E+000    0.1835931323E-003    0.1647499843E-001    0.1797635191E-005    0.3705174373E-002    0.1172423922E-002    0.1892484488E-005    0.1585468248E-003    0.1976066691E-007
   0.1002460000E+001   -0.1558265716E+002    0.3347675274E+004    0.7927585622E+004    0.7936515295E+004    0.2264454645E+005    0.5038300240E-002    0.4045098039E+008    0.5706022619E-002    0.7700300152E+000    0.2133113683E+000    0.1835310978E-003    0.1647328852E-001    0.1796885095E-005    0.3705369469E-002    0.1172480790E-002    0.1891939536E-005    0.1585382885E-003    0.1975340809E-007
   0.1002580000E+001   -0.1638127919E+002    0.3363956919E+004    0.7927115452E+004    0.7937505785E+004    0.2264445811E+005    0.5038569325E-002    0.4045092134E+008    0.5998630534E-002    0.7700324071E+000    0.2133110119E+000    0.1834617233E-003    0.1647132321E-001    0.1796048609E-005    0.3705586295E-002    0.1172543798E-002    0.1891329178E-005    0.1585281580E-003    0.1974530650E-007
   0.1002700000E+001   -0.1718336734E+002    0.3380222142E+004    0.7926598501E+004    0.7938603232E+004    0.2264436637E+005    0.5038866078E-002    0.4045086446E+008    0.6292541862E-002    0.7700351200E+000    0.2133106063E+000    0.1833846677E-003    0.1646909394E-001    0.1795121636E-005    0.3705826006E-002    0.1172613288E-002    0.1890650438E-005    0.1585163976E-003    0.1973632271E-007
   0.1002820000E+001   -0.1798890188E+002    0.3396472003E+004    0.7926032470E+004    0.7939813086E+004    0.2264427119E+005    0.5039191919E-002    0.4045080956E+008    0.6587752871E-002    0.7700381635E+000    0.2133101501E+000    0.1832996009E-003    0.1646659273E-001    0.1794100214E-005    0.3706089725E-002    0.1172689592E-002    0.1889900433E-005    0.1585029756E-003    0.1972641851E-007
   0.1002940000E+001   -0.1879786273E+002    0.3412707496E+004    0.7925415129E+004    0.7941140746E+004    0.2264417254E+005    0.5039548234E-002    0.4045075647E+008    0.6884259870E-002    0.7700415465E+000    0.2133096420E+000    0.1832062057E-003    0.1646381232E-001    0.1792980537E-005    0.3706378542E-002    0.1172773034E-002    0.1889076393E-005    0.1584878659E-003    0.1971555719E-007
   0.1003060000E+001   -0.1961022951E+002    0.3428929562E+004    0.7924744325E+004    0.7942591548E+004    0.2264407037E+005    0.5039936363E-002    0.4045070507E+008    0.7182059214E-002    0.7700452769E+000    0.2133090809E+000    0.1831041800E-003    0.1646074628E-001    0.1791758973E-005    0.3706693507E-002    0.1172863928E-002    0.1888175681E-005    0.1584710489E-003    0.1970370372E-007
   0.1003180000E+001   -0.2042598160E+002    0.3445139095E+004    0.7924017989E+004    0.7944170755E+004    0.2264396464E+005    0.5040357602E-002    0.4045065522E+008    0.7481147306E-002    0.7700493612E+000    0.2133084659E+000    0.1829932385E-003    0.1645738918E-001    0.1790432089E-005    0.3707035625E-002    0.1172962578E-002    0.1887195808E-005    0.1584525124E-003    0.1969082500E-007
   0.1003300000E+001   -0.2124509811E+002    0.3461336946E+004    0.7923234145E+004    0.7945883550E+004    0.2264385531E+005    0.5040813193E-002    0.4045060681E+008    0.7781520599E-002    0.7700538048E+000    0.2133077964E+000    0.1828731150E-003    0.1645373669E-001    0.1788996673E-005    0.3707405855E-002    0.1173069273E-002    0.1886134455E-005    0.1584322533E-003    0.1967689002E-007
   0.1003420000E+001   -0.2206755799E+002    0.3477523924E+004    0.7922390918E+004    0.7947735018E+004    0.2264374235E+005    0.5041304324E-002    0.4045055975E+008    0.8083175605E-002    0.7700586115E+000    0.2133070718E+000    0.1827435639E-003    0.1644978571E-001    0.1787449753E-005    0.3707805103E-002    0.1173184291E-002    0.1884989484E-005    0.1584102782E-003    0.1966187012E-007
   0.1003540000E+001   -0.2289334003E+002    0.3493700805E+004    0.7921486541E+004    0.7949730147E+004    0.2264362571E+005    0.5041832124E-002    0.4045051393E+008    0.8386108901E-002    0.7700637833E+000    0.2133062920E+000    0.1826043622E-003    0.1644553454E-001    0.1785788618E-005    0.3708234218E-002    0.1173307898E-002    0.1883758963E-005    0.1583866044E-003    0.1964573917E-007
   0.1003660000E+001   -0.2372242291E+002    0.3509868334E+004    0.7920519368E+004    0.7951873811E+004    0.2264350534E+005    0.5042397655E-002    0.4045046929E+008    0.8690317134E-002    0.7700693206E+000    0.2133054571E+000    0.1824553116E-003    0.1644098298E-001    0.1784010838E-005    0.3708693984E-002    0.1173440340E-002    0.1882441179E-005    0.1583612619E-003    0.1962847375E-007
   0.1003780000E+001   -0.2455478531E+002    0.3526027225E+004    0.7919487876E+004    0.7954170768E+004    0.2264338122E+005    0.5043001910E-002    0.4045042575E+008    0.8995797032E-002    0.7700752217E+000    0.2133045675E+000    0.1822962404E-003    0.1643613247E-001    0.1782114289E-005    0.3709185122E-002    0.1173581850E-002    0.1881034657E-005    0.1583342933E-003    0.1961005343E-007
   0.1003900000E+001   -0.2539040592E+002    0.3542178165E+004    0.7918390681E+004    0.7956625645E+004    0.2264325330E+005    0.5043645808E-002    0.4045038324E+008    0.9302545415E-002    0.7700814825E+000    0.2133036241E+000    0.1821270052E-003    0.1643098625E-001    0.1780097169E-005    0.3709708281E-002    0.1173732642E-002    0.1879538174E-005    0.1583057563E-003    0.1959046088E-007
   0.1004020000E+001   -0.2622926352E+002    0.3558321815E+004    0.7917226541E+004    0.7959242939E+004    0.2264312153E+005    0.5044330187E-002    0.4045034171E+008    0.9610559201E-002    0.7700880970E+000    0.2133026281E+000    0.1819474928E-003    0.1642554951E-001    0.1777958016E-005    0.3710264029E-002    0.1173892914E-002    0.1877950783E-005    0.1582757239E-003    0.1956968214E-007
   0.1004140000E+001   -0.2707133709E+002    0.3574458812E+004    0.7915994372E+004    0.7962027001E+004    0.2264298588E+005    0.5045055801E-002    0.4045030109E+008    0.9919835422E-002    0.7700950563E+000    0.2133015809E+000    0.1817576224E-003    0.1641982952E-001    0.1775695737E-005    0.3710852856E-002    0.1174062839E-002    0.1876271825E-005    0.1582442863E-003    0.1954770676E-007
   0.1004260000E+001   -0.2791660584E+002    0.3590589773E+004    0.7914693250E+004    0.7964982035E+004    0.2264284630E+005    0.5045823313E-002    0.4045026135E+008    0.1023037124E-001    0.7701023488E+000    0.2133004847E+000    0.1815573482E-003    0.1641383581E-001    0.1773309634E-005    0.3711475162E-002    0.1174242574E-002    0.1874500958E-005    0.1582115520E-003    0.1952452823E-007
   0.1004380000E+001   -0.2876504933E+002    0.3606715290E+004    0.7913322427E+004    0.7968112089E+004    0.2264270275E+005    0.5046633292E-002    0.4045022243E+008    0.1054216393E-001    0.7701099603E+000    0.2132993419E+000    0.1813467011E-003    0.1640758026E-001    0.1770799997E-005    0.3712131255E-002    0.1174432250E-002    0.1872638589E-005    0.1581776490E-003    0.1950015039E-007
   0.1004500000E+001   -0.2961664482E+002    0.3622835937E+004    0.7911881337E+004    0.7971356982E+004    0.2264255521E+005    0.5047486215E-002    0.4045018429E+008    0.1085520996E-001    0.7701178743E+000    0.2132981540E+000    0.1811274112E-003    0.1640107613E-001    0.1768186839E-005    0.3712821355E-002    0.1174631968E-002    0.1870702623E-005    0.1581427149E-003    0.1947479382E-007
   0.1004620000E+001   -0.3047136789E+002    0.3638952267E+004    0.7910367687E+004    0.7974752008E+004    0.2264240365E+005    0.5048383341E-002    0.4045014691E+008    0.1116950602E-001    0.7701261476E+000    0.2132969122E+000    0.1808980306E-003    0.1639427668E-001    0.1765454216E-005    0.3713546841E-002    0.1174842030E-002    0.1868678554E-005    0.1581063429E-003    0.1944828730E-007
   0.1004740000E+001   -0.3132919555E+002    0.3655064824E+004    0.7908779917E+004    0.7978323109E+004    0.2264224801E+005    0.5049325608E-002    0.4045011023E+008    0.1148504919E-001    0.7701348029E+000    0.2132956134E+000    0.1806576649E-003    0.1638716338E-001    0.1762592152E-005    0.3714308587E-002    0.1175062660E-002    0.1866557402E-005    0.1580683834E-003    0.1942052335E-007
   0.1004860000E+001   -0.3219010551E+002    0.3671174137E+004    0.7907117089E+004    0.7982073452E+004    0.2264208825E+005    0.5050313671E-002    0.4045007423E+008    0.1180183665E-001    0.7701438375E+000    0.2132942582E+000    0.1804062476E-003    0.1637973849E-001    0.1759599960E-005    0.3715107057E-002    0.1175294009E-002    0.1864338583E-005    0.1580288748E-003    0.1939149519E-007
   0.1004980000E+001   -0.3305407562E+002    0.3687280722E+004    0.7905378361E+004    0.7986006076E+004    0.2264192434E+005    0.5051348132E-002    0.4045003888E+008    0.1211986567E-001    0.7701532474E+000    0.2132928472E+000    0.1801437324E-003    0.1637200524E-001    0.1756477194E-005    0.3715942667E-002    0.1175536219E-002    0.1862021690E-005    0.1579878629E-003    0.1936119833E-007
   0.1005100000E+001   -0.3392108382E+002    0.3703385084E+004    0.7903562985E+004    0.7990123885E+004    0.2264175622E+005    0.5052429541E-002    0.4045000414E+008    0.1243913359E-001    0.7701630276E+000    0.2132913813E+000    0.1798700917E-003    0.1636396781E-001    0.1753223636E-005    0.3716815786E-002    0.1175789418E-002    0.1859606487E-005    0.1579454004E-003    0.1932963052E-007
   0.1005220000E+001   -0.3479110824E+002    0.3719487711E+004    0.7901670310E+004    0.7994429643E+004    0.2264158385E+005    0.5053558393E-002    0.4044997000E+008    0.1275963786E-001    0.7701731719E+000    0.2132898617E+000    0.1795853175E-003    0.1635563127E-001    0.1749839303E-005    0.3717726736E-002    0.1176053721E-002    0.1857092904E-005    0.1579015470E-003    0.1929679175E-007
   0.1005340000E+001   -0.3566412722E+002    0.3735589081E+004    0.7899699783E+004    0.7998925977E+004    0.2264140721E+005    0.5054735133E-002    0.4044993642E+008    0.1308137602E-001    0.7701836731E+000    0.2132882895E+000    0.1792894211E-003    0.1634700167E-001    0.1746324445E-005    0.3718675788E-002    0.1176329231E-002    0.1854481045E-005    0.1578563697E-003    0.1926268428E-007
   0.1005460000E+001   -0.3654011934E+002    0.3751689660E+004    0.7897650949E+004    0.8003615373E+004    0.2264122624E+005    0.5055960146E-002    0.4044990339E+008    0.1340434572E-001    0.7701945226E+000    0.2132866662E+000    0.1789824335E-003    0.1633808601E-001    0.1742679547E-005    0.3719663167E-002    0.1176616039E-002    0.1851771187E-005    0.1578099427E-003    0.1922731261E-007
   0.1005580000E+001   -0.3741906350E+002    0.3767789901E+004    0.7895523452E+004    0.8008500180E+004    0.2264104090E+005    0.5057233767E-002    0.4044987087E+008    0.1372854472E-001    0.7702057108E+000    0.2132849936E+000    0.1786644053E-003    0.1632889232E-001    0.1738905329E-005    0.3720689043E-002    0.1176914221E-002    0.1848963783E-005    0.1577623482E-003    0.1919068355E-007
   0.1005700000E+001   -0.3830093890E+002    0.3783890247E+004    0.7893317039E+004    0.8013582602E+004    0.2264085115E+005    0.5058556270E-002    0.4044983886E+008    0.1405397089E-001    0.7702172266E+000    0.2132832733E+000    0.1783354070E-003    0.1631942964E-001    0.1735002743E-005    0.3721753540E-002    0.1177223842E-002    0.1846059459E-005    0.1577136759E-003    0.1915280614E-007
   0.1005820000E+001   -0.3918572515E+002    0.3799991131E+004    0.7891031558E+004    0.8018864706E+004    0.2264065695E+005    0.5059927874E-002    0.4044980733E+008    0.1438062223E-001    0.7702290580E+000    0.2132815075E+000    0.1779955289E-003    0.1630970806E-001    0.1730972979E-005    0.3722856726E-002    0.1177544952E-002    0.1843059019E-005    0.1576640240E-003    0.1911369172E-007
   0.1005940000E+001   -0.4007340224E+002    0.3816092971E+004    0.7888666962E+004    0.8024348419E+004    0.2264045826E+005    0.5061348741E-002    0.4044977626E+008    0.1470849685E-001    0.7702411912E+000    0.2132796984E+000    0.1776448813E-003    0.1629973875E-001    0.1726817458E-005    0.3723998618E-002    0.1177877588E-002    0.1839963443E-005    0.1576134989E-003    0.1907335387E-007
   0.1006060000E+001   -0.4096395068E+002    0.3832196180E+004    0.7886223308E+004    0.8030035527E+004    0.2264025503E+005    0.5062818974E-002    0.4044974564E+008    0.1503759301E-001    0.7702536115E+000    0.2132778484E+000    0.1772835942E-003    0.1628953397E-001    0.1722537831E-005    0.3725179180E-002    0.1178221773E-002    0.1836773889E-005    0.1575622156E-003    0.1903180842E-007
   0.1006180000E+001   -0.4185735144E+002    0.3848301155E+004    0.7883700757E+004    0.8035927680E+004    0.2264004722E+005    0.5064338617E-002    0.4044971544E+008    0.1536790912E-001    0.7702663025E+000    0.2132759604E+000    0.1769118176E-003    0.1627910714E-001    0.1718135980E-005    0.3726398320E-002    0.1178577518E-002    0.1833491692E-005    0.1575102982E-003    0.1898907344E-007
   0.1006300000E+001   -0.4275358607E+002    0.3864408288E+004    0.7881099579E+004    0.8042026390E+004    0.2263983479E+005    0.5065907654E-002    0.4044968566E+008    0.1569944371E-001    0.7702792467E+000    0.2132740371E+000    0.1765297212E-003    0.1626847282E-001    0.1713614015E-005    0.3727655894E-002    0.1178944817E-002    0.1830118363E-005    0.1574578800E-003    0.1894516919E-007
   0.1006420000E+001   -0.4365263673E+002    0.3880517956E+004    0.7878420149E+004    0.8048333032E+004    0.2263961769E+005    0.5067526008E-002    0.4044965628E+008    0.1603219547E-001    0.7702924249E+000    0.2132720818E+000    0.1761374946E-003    0.1625764678E-001    0.1708974268E-005    0.3728951697E-002    0.1179323651E-002    0.1826655592E-005    0.1574051038E-003    0.1890011815E-007
   0.1006540000E+001   -0.4455448622E+002    0.3896630530E+004    0.7875662953E+004    0.8054848849E+004    0.2263939588E+005    0.5069193542E-002    0.4044962729E+008    0.1636616328E-001    0.7703058165E+000    0.2132700979E+000    0.1757353470E-003    0.1624664602E-001    0.1704219295E-005    0.3730285471E-002    0.1179713989E-002    0.1823105244E-005    0.1573521225E-003    0.1885394493E-007
   0.1006660000E+001   -0.4545911804E+002    0.3912746369E+004    0.7872828585E+004    0.8061574949E+004    0.2263916932E+005    0.5070910056E-002    0.4044959866E+008    0.1670134615E-001    0.7703193994E+000    0.2132680889E+000    0.1753235074E-003    0.1623548878E-001    0.1699351869E-005    0.3731656900E-002    0.1180115781E-002    0.1819469363E-005    0.1572990990E-003    0.1880667631E-007
   0.1006780000E+001   -0.4636651645E+002    0.3928865821E+004    0.7869917750E+004    0.8068512313E+004    0.2263893795E+005    0.5072675289E-002    0.4044957039E+008    0.1703774328E-001    0.7703331499E+000    0.2132660589E+000    0.1749022241E-003    0.1622419464E-001    0.1694374981E-005    0.3733065607E-002    0.1180528967E-002    0.1815750166E-005    0.1572462071E-003    0.1875834116E-007
   0.1006900000E+001   -0.4727666651E+002    0.3944989227E+004    0.7866931266E+004    0.8075661792E+004    0.2263870173E+005    0.5074488914E-002    0.4044954247E+008    0.1737535404E-001    0.7703470426E+000    0.2132640119E+000    0.1744717651E-003    0.1621278449E-001    0.1689291835E-005    0.3734511156E-002    0.1180953468E-002    0.1811950052E-005    0.1571936314E-003    0.1870897045E-007
   0.1007020000E+001   -0.4818955412E+002    0.3961116915E+004    0.7863870060E+004    0.8083024114E+004    0.2263846062E+005    0.5076350541E-002    0.4044951489E+008    0.1771417801E-001    0.7703610504E+000    0.2132619524E+000    0.1740324237E-003    0.1620128062E-001    0.1684105932E-005    0.3735993050E-002    0.1181389192E-002    0.1808071651E-005    0.1571415683E-003    0.1865859824E-007
   0.1007140000E+001   -0.4910516604E+002    0.3977249204E+004    0.7860735178E+004    0.8090599883E+004    0.2263821458E+005    0.5078259715E-002    0.4044948762E+008    0.1805421492E-001    0.7703751448E+000    0.2132598851E+000    0.1735846588E-003    0.1618970663E-001    0.1678823038E-005    0.3737510733E-002    0.1181836031E-002    0.1804119297E-005    0.1570902247E-003    0.1860728335E-007
   0.1007260000E+001   -0.5002348350E+002    0.3993386405E+004    0.7857527778E+004    0.8098238751E+004    0.2263796363E+005    0.5080215940E-002    0.4044946069E+008    0.1839546235E-001    0.7703892977E+000    0.2132578112E+000    0.1731325746E-003    0.1617808496E-001    0.1673489907E-005    0.3739063608E-002    0.1182293847E-002    0.1800135204E-005    0.1570397950E-003    0.1855553901E-007
   0.1007380000E+001   -0.5094448524E+002    0.4009528818E+004    0.7854246451E+004    0.8106033404E+004    0.2263770770E+005    0.5082219903E-002    0.4044943407E+008    0.1873791892E-001    0.7704035833E+000    0.2132557205E+000    0.1726732322E-003    0.1616635488E-001    0.1668074427E-005    0.3740652779E-002    0.1182762815E-002    0.1796088974E-005    0.1569897171E-003    0.1850301037E-007
   0.1007500000E+001   -0.5186815511E+002    0.4025676739E+004    0.7850891210E+004    0.8114030663E+004    0.2263744673E+005    0.5084271636E-002    0.4044940774E+008    0.1908158413E-001    0.7704180147E+000    0.2132536116E+000    0.1722054179E-003    0.1615450573E-001    0.1662563491E-005    0.3742278382E-002    0.1183242951E-002    0.1791967785E-005    0.1569398856E-003    0.1844954949E-007
   0.1007620000E+001   -0.5279447917E+002    0.4041830463E+004    0.7847462861E+004    0.8122230599E+004    0.2263718066E+005    0.5086370803E-002    0.4044938170E+008    0.1942645766E-001    0.7704325737E+000    0.2132514875E+000    0.1717293768E-003    0.1614255245E-001    0.1656960225E-005    0.3743940031E-002    0.1183734175E-002    0.1787773793E-005    0.1568904285E-003    0.1839518651E-007
   0.1007740000E+001   -0.5372344454E+002    0.4057990275E+004    0.7843962280E+004    0.8130633191E+004    0.2263690945E+005    0.5088517026E-002    0.4044935594E+008    0.1977253951E-001    0.7704472414E+000    0.2132493512E+000    0.1712454504E-003    0.1613051070E-001    0.1651270128E-005    0.3745637300E-002    0.1184236397E-002    0.1783510146E-005    0.1568414793E-003    0.1833997782E-007
   0.1007860000E+001   -0.5465503955E+002    0.4074156452E+004    0.7840390541E+004    0.8139238331E+004    0.2263663306E+005    0.5090709815E-002    0.4044933045E+008    0.2011982984E-001    0.7704619945E+000    0.2132472065E+000    0.1707539449E-003    0.1611839958E-001    0.1645497193E-005    0.3747369649E-002    0.1184749501E-002    0.1779179581E-005    0.1567932015E-003    0.1828396263E-007
   0.1007980000E+001   -0.5558925298E+002    0.4090329264E+004    0.7836748830E+004    0.8148045821E+004    0.2263635143E+005    0.5092948621E-002    0.4044930522E+008    0.2046832885E-001    0.7704768078E+000    0.2132450576E+000    0.1702550600E-003    0.1610623988E-001    0.1639642294E-005    0.3749136477E-002    0.1185273359E-002    0.1774783706E-005    0.1567457731E-003    0.1822714534E-007
   0.1008100000E+001   -0.5652607399E+002    0.4106508973E+004    0.7833038264E+004    0.8157055373E+004    0.2263606452E+005    0.5095232924E-002    0.4044928025E+008    0.2081803688E-001    0.7704916589E+000    0.2132429081E+000    0.1697490835E-003    0.1609405019E-001    0.1633708950E-005    0.3750937228E-002    0.1185807849E-002    0.1770325065E-005    0.1566993524E-003    0.1816955989E-007
   0.1008220000E+001   -0.5746549254E+002    0.4122695830E+004    0.7829260025E+004    0.8166266622E+004    0.2263577230E+005    0.5097562168E-002    0.4044925552E+008    0.2116895444E-001    0.7705065242E+000    0.2132407619E+000    0.1692363130E-003    0.1608184990E-001    0.1627700774E-005    0.3752771307E-002    0.1186352839E-002    0.1765806290E-005    0.1566541047E-003    0.1811124118E-007
   0.1008340000E+001   -0.5840749942E+002    0.4138890083E+004    0.7825415369E+004    0.8175679120E+004    0.2263547470E+005    0.5099935753E-002    0.4044923103E+008    0.2152108220E-001    0.7705213792E+000    0.2132386229E+000    0.1687170554E-003    0.1606965923E-001    0.1621621468E-005    0.3754638081E-002    0.1186908188E-002    0.1761230103E-005    0.1566102022E-003    0.1805222498E-007
   0.1008460000E+001   -0.5935208626E+002    0.4155091968E+004    0.7821505619E+004    0.8185292348E+004    0.2263517168E+005    0.5102353039E-002    0.4044920677E+008    0.2187442101E-001    0.7705361982E+000    0.2132364954E+000    0.1681916268E-003    0.1605749930E-001    0.1615474819E-005    0.3756536876E-002    0.1187473745E-002    0.1756599308E-005    0.1565678248E-003    0.1799254793E-007
